example_id                                                      | status | run_time        |
./spec/requests/api/v1/shifts_spec.rb[1:1:1]                    | failed | 0.03623 seconds |
./spec/requests/api/v1/shifts_spec.rb[1:1:2]                    | passed | 0.04402 seconds |
./spec/requests/api/v1/shifts_spec.rb[1:1:3]                    | passed | 0.00858 seconds |
./spec/requests/api/v1/shifts_spec.rb[1:2:1:1]                  | passed | 0.08024 seconds |
./spec/requests/api/v1/shifts_spec.rb[1:2:1:2]                  | failed | 0.07359 seconds |
./spec/requests/api/v1/shifts_spec.rb[1:2:2:1]                  | failed | 0.03143 seconds |
./spec/requests/api/v1/shifts_spec.rb[1:2:3:1]                  | failed | 0.05277 seconds |
./spec/requests/api/v1/shifts_spec.rb[1:2:4:1]                  | failed | 0.075 seconds   |
./spec/requests/api/v1/shifts_spec.rb[1:2:5:1]                  | passed | 0.06654 seconds |
./spec/requests/api/v1/shifts_spec.rb[1:2:5:2]                  | failed | 0.16603 seconds |
./spec/requests/api/v1/shifts_spec.rb[1:3:1:1]                  | failed | 0.02882 seconds |
./spec/requests/api/v1/shifts_spec.rb[1:3:1:2]                  | failed | 0.05244 seconds |
./spec/requests/api/v1/shifts_spec.rb[1:3:2:1]                  | failed | 0.06331 seconds |
./spec/requests/api/v1/workers_spec.rb[1:1:1]                   | passed | 0.29647 seconds |
./spec/requests/api/v1/workers_spec.rb[1:1:2]                   | passed | 0.05232 seconds |
./spec/requests/api/v1/workers_spec.rb[1:1:3]                   | passed | 0.09069 seconds |
./spec/requests/api/v1/workers_spec.rb[1:1:4]                   | passed | 0.07862 seconds |
./spec/requests/api/v1/workers_spec.rb[1:2:1]                   | passed | 0.03849 seconds |
./spec/requests/events_index_aggregates_spec.rb[1:1:1:1]        | failed | 0.0481 seconds  |
./spec/requests/events_index_aggregates_spec.rb[1:1:1:2]        | failed | 0.03065 seconds |
./spec/requests/events_index_aggregates_spec.rb[1:1:1:3]        | failed | 0.03598 seconds |
./spec/requests/events_index_aggregates_spec.rb[1:1:1:4]        | failed | 0.04498 seconds |
./spec/requests/events_index_aggregates_spec.rb[1:1:1:5]        | failed | 0.02924 seconds |
./spec/requests/events_index_aggregates_spec.rb[1:1:1:6]        | failed | 0.0333 seconds  |
./spec/requests/events_index_aggregates_spec.rb[1:1:2:1]        | failed | 0.02685 seconds |
./spec/services/event_publishing_service_spec.rb[1:1:1:1]       | passed | 0.07497 seconds |
./spec/services/event_publishing_service_spec.rb[1:1:1:2]       | passed | 0.02726 seconds |
./spec/services/event_publishing_service_spec.rb[1:1:2:1]       | passed | 0.00814 seconds |
./spec/services/event_publishing_service_spec.rb[1:1:3:1]       | passed | 0.01138 seconds |
./spec/services/event_publishing_service_spec.rb[1:1:4:1]       | passed | 0.01133 seconds |
./spec/services/event_publishing_service_spec.rb[1:1:5:1]       | passed | 0.062 seconds   |
./spec/services/event_publishing_service_spec.rb[1:1:6:1]       | passed | 0.03368 seconds |
./spec/services/event_publishing_service_spec.rb[1:2:1]         | passed | 0.01519 seconds |
./spec/services/event_publishing_service_spec.rb[1:2:2]         | passed | 0.00926 seconds |
./spec/services/event_publishing_service_spec.rb[1:2:3]         | passed | 0.01015 seconds |
./spec/services/event_publishing_service_spec.rb[1:3:1]         | failed | 0.02753 seconds |
./spec/services/event_publishing_service_spec.rb[1:3:2]         | failed | 0.01762 seconds |
./spec/services/events/recalculate_totals_parity_spec.rb[1:1:1] | passed | 0.06996 seconds |
./spec/services/events/recalculate_totals_spec.rb[1:1:1:1]      | passed | 0.1114 seconds  |
./spec/services/events/recalculate_totals_spec.rb[1:1:1:2]      | passed | 0.13287 seconds |
./spec/services/events/recalculate_totals_spec.rb[1:1:1:3]      | passed | 0.11601 seconds |
./spec/services/events/recalculate_totals_spec.rb[1:1:2:1]      | passed | 39.09 seconds   |
./spec/services/events/recalculate_totals_spec.rb[1:1:2:2]      | passed | 37.82 seconds   |
./spec/services/events/recalculate_totals_spec.rb[1:1:2:3]      | passed | 38.62 seconds   |
./spec/services/events/recalculate_totals_spec.rb[1:1:3:1]      | passed | 0.01745 seconds |
./spec/services/events/recalculate_totals_spec.rb[1:1:4:1]      | passed | 0.00582 seconds |
./spec/services/events/recalculate_totals_spec.rb[1:1:5:1]      | passed | 0.06357 seconds |
./spec/services/events/recalculate_totals_spec.rb[1:1:5:2]      | passed | 0.0702 seconds  |
./spec/services/events/recalculate_totals_spec.rb[1:1:6:1]      | passed | 0.07794 seconds |
